,Open,High,Low,Close,Volume
2026-05-29,5182.04,5269.59,5076.43,5163.67,1598535
2026-06-01,5184.6,5294.92,5064.86,5174.98,1767828
2026-06-02,5127.06,5285.03,5015.64,5172.62,2459129
2026-06-03,5199.84,5268.08,5129.46,5197.67,1904153
2026-06-04,5200.37,5269.68,5147.09,5216.24,1306085
2026-06-05,5300.45,5427.65,5185.61,5312.55,2903374
2026-06-08,5228.71,5313.45,5134.12,5218.7,3123645
2026-06-09,5164.39,5233.95,5121.92,5191.26,1707490
2026-06-10,5304.95,5394.25,5201.09,5290.14,2514845
2026-06-11,5416.17,5495.1,5335.53,5414.43,1653636
2026-06-12,5559.02,5657.56,5466.38,5564.83,4493857
2026-06-15,5494.86,5541.07,5429.62,5475.67,3406602
2026-06-16,5497.71,5568.75,5453.49,5524.31,1271481
2026-06-17,5773.84,5849.88,5663.36,5738.94,994091
2026-06-18,5933.99,6043.66,5824.69,5934.35,2858187
2026-06-19,5967.91,6054.38,5865.47,5951.71,659752
2026-06-22,6133.98,6281.08,6019.21,6165.72,701183
2026-06-23,6081.16,6273.49,5957.79,6148.75,1252543
2026-06-24,6128.05,6212.28,6004.51,6088.19,2547172
2026-06-25,6133.97,6267.41,5999.78,6133.2,1699885
2026-06-26,6020.89,6073.54,5934.61,5986.97,4362276
2026-06-29,5925.58,6030.68,5795.52,5900.17,3445241
2026-06-30,5917.64,6015.3,5867.17,5964.44,1853303
2026-07-01,6137.23,6191.37,6021.95,6075.55,1008650
2026-07-02,6072.76,6181.0,5940.53,6048.34,4255859
2026-07-03,5779.17,5893.69,5647.44,5761.61,2504107
2026-07-06,5630.61,5745.45,5501.99,5616.54,2097596
2026-07-07,5592.76,5694.7,5485.27,5587.11,293084
2026-07-08,5653.85,5725.3,5589.9,5661.26,2521138
2026-07-09,5869.63,5965.8,5739.22,5834.82,1516948
2026-07-10,5939.21,6030.87,5797.06,5887.93,749316
2026-07-13,5962.06,6030.48,5894.01,5962.42,1896389
2026-07-14,6033.83,6091.15,5954.47,6011.58,543635
2026-07-15,5985.09,6094.85,5843.3,5952.46,1912945
2026-07-16,5853.37,5949.42,5793.53,5889.21,1402618
2026-07-17,5806.26,5932.46,5653.26,5778.87,415072
2026-07-20,5704.99,5755.78,5624.96,5675.49,3594771
2026-07-21,5623.62,5719.94,5521.36,5617.58,805409
2026-07-22,5455.05,5551.89,5353.15,5449.9,4264297
2026-07-23,5758.26,5816.03,5695.09,5752.8,3515035
2026-07-24,5752.71,5838.65,5651.76,5737.47,3631256
2026-07-27,5918.48,5974.8,5793.48,5849.14,2801838
2026-07-28,5824.82,5898.91,5730.06,5803.88,974661
2026-07-29,5758.4,5880.32,5670.93,5792.34,1510496
2026-07-30,5794.72,5853.44,5739.77,5798.46,1895305
2026-07-31,5905.37,6046.61,5809.32,5949.84,4090473
2026-08-03,5942.93,6030.78,5854.17,5942.01,1761394
2026-08-04,5916.05,5970.51,5851.14,5905.51,4031664
2026-08-05,5918.2,6032.41,5836.02,5949.79,2722612
2026-08-06,5907.07,6013.58,5760.93,5866.71,1945192
2026-08-07,5733.93,5800.7,5683.21,5749.84,2072888
2026-08-10,5888.78,6005.78,5764.29,5881.13,1763687
2026-08-11,5854.21,5928.24,5778.08,5852.08,2979938
2026-08-12,6020.4,6088.13,5939.78,6007.37,1968863
2026-08-13,6102.99,6193.65,6041.11,6131.48,2463669
2026-08-14,6017.53,6099.57,5949.75,6031.63,3599467
2026-08-17,6140.13,6198.95,6007.77,6065.87,4396434
2026-08-18,5856.52,5934.19,5798.54,5876.02,1169961
2026-08-19,5965.24,6054.87,5814.77,5903.47,2689307
2026-08-20,5956.64,6081.89,5854.7,5979.55,3497183
2026-08-21,6056.78,6182.28,5899.87,6024.71,412894
2026-08-24,5951.02,6034.09,5825.46,5907.93,3134013
2026-08-25,5851.41,5930.22,5787.26,5865.91,3613761
2026-08-26,5917.16,6047.29,5761.81,5891.37,4395485
2026-08-27,5880.2,6003.96,5769.72,5893.24,894423
2026-08-28,5993.77,6063.51,5880.08,5949.3,2856351
2026-08-31,6049.6,6145.67,5948.15,6044.13,4264069
2026-09-01,5939.56,5989.69,5871.98,5921.96,3888301
2026-09-02,5788.98,5855.08,5734.01,5800.0,4119037
2026-09-03,5855.93,5925.61,5758.55,5827.9,2974231
2026-09-04,5700.32,5794.17,5581.84,5675.27,1108990
2026-09-07,5582.73,5653.73,5501.54,5572.41,816923
2026-09-08,5623.84,5701.98,5555.47,5633.49,4423826
2026-09-09,5519.69,5648.45,5406.74,5535.18,255280
2026-09-10,5697.63,5788.47,5573.83,5664.14,3656898
2026-09-11,5617.01,5699.53,5540.3,5622.74,3392554
2026-09-14,5528.1,5644.04,5462.6,5577.95,3622681
2026-09-15,5734.49,5861.17,5608.83,5735.49,1764666
2026-09-16,5702.67,5780.68,5630.09,5708.03,4114259
2026-09-17,5710.97,5831.51,5590.65,5711.19,1951202
2026-09-18,5719.05,5846.96,5617.69,5745.13,2350283
2026-09-21,5779.79,5896.31,5707.64,5823.61,1427940
2026-09-22,5772.7,5920.65,5652.2,5799.59,4303606
2026-09-23,5893.45,6028.13,5764.64,5899.2,1565495
2026-09-24,5858.13,5977.9,5777.63,5896.87,3311541
